tic_id,obs_id,ra,dec,file_type,calib_level,t_min,t_max,file_path,proposal_pi,obs_title
176957796,tess2019085135100-s0010-0000000176957796-0140-s,101.297293119643,-66.2380357276682,LC,3,58568.93625274306,58595.18063079861,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2019085135100-s0010-0000000176957796-0140-s_lc.fits,"Ricker, George",
176957796,tess2018292075959-s0004-0000000176957796-0124-s,101.297293119643,-66.2380357276682,LC,3,58410.39933956019,58436.3397378588,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2018292075959-s0004-0000000176957796-0124-s_lc.fits,"Ricker, George",
176957796,tess2019006130736-s0007-0000000176957796-0131-s,101.297293119643,-66.2380357276682,LC,3,58491.131789652776,58515.586120810185,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2019006130736-s0007-0000000176957796-0131-s_lc.fits,"Ricker, George",
176957796,tess2018234235059-s0002-0000000176957796-0121-s,101.297293119643,-66.2380357276682,LC,3,58353.606323865744,58381.01319945602,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2018234235059-s0002-0000000176957796-0121-s_lc.fits,"Ricker, George",
176957796,tess2019169103026-s0013-0000000176957796-0146-s,101.297293119643,-66.2380357276682,LC,3,58653.41912564815,58681.85640055555,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2019169103026-s0013-0000000176957796-0146-s_lc.fits,"Ricker, George",
176957796,tess2018206190142-s0001-s0009-0000000176957796,101.297293119643,-66.2380357276682,DVT,3,58324.79262302083,58567.975168125,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/DVT/tess2018206190142-s0001-s0009-0000000176957796-00205_dvt.fits,"Ricker, George",
355636844,tess2020238165205-s0029-0000000355636844-0193-s,358.301530474831,-56.0131350243401,LC,3,59087.74214384,59113.93602535,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2020238165205-s0029-0000000355636844-0193-s_lc.fits,"Ricker, George",
355636844,tess2020212050318-s0028-0000000355636844-0190-s,358.301530474831,-56.0131350243401,LC,3,59061.35306926,59086.60047951,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2020212050318-s0028-0000000355636844-0190-s_lc.fits,"Ricker, George",
220435095,tess2019169103026-s0013-0000000220435095-0146-s,73.6414335623337,-57.5135485551435,LC,3,58653.41825868056,58681.85622782407,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/LC/tess2019169103026-s0013-0000000220435095-0146-s_lc.fits,"Ricker, George",
220435095,tess2018206190142-s0001-s0069-0000000220435095,73.6414335623337,-57.5135485551435,DVT,3,58653.41270304399,60207.63588997685,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/DVT/tess2018206190142-s0001-s0069-0000000220435095-00810_dvt.fits,"Ricker, George",
