tic_id,obs_id,file_type,file_path
176957796,52360645,TP,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000176957796-s0027_tess_v1_tp.fits
176957796,53684280,TP,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000176957796-s0028_tess_v1_tp.fits
176957796,53852094,TP,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000176957796-s0029_tess_v1_tp.fits
176957796,54006187,TP,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000176957796-s0030_tess_v1_tp.fits
176957796,59711735,TP,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000176957796-s0001_tess_v1_tp.fits
355636844,53729695,TP,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000355636844-s0028_tess_v1_tp.fits
355636844,53938617,TP,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000355636844-s0029_tess_v1_tp.fits
355636844,201622616,TP,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000355636844-s0068_tess_v1_tp.fits
355636844,213171397,TP,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000355636844-s0069_tess_v1_tp.fits
355636844,27821887,TP,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/TP/tess2020212050318-s0028-0000000355636844-0190-s_tp.fits
220435095,53612322,TP,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000220435095-s0027_tess_v1_tp.fits
220435095,53734659,TP,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000220435095-s0028_tess_v1_tp.fits
220435095,53940776,TP,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000220435095-s0029_tess_v1_tp.fits
220435095,54110920,TP,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000220435095-s0030_tess_v1_tp.fits
220435095,59765814,TP,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000220435095-s0001_tess_v1_tp.fits
382302241,53615678,TP,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000382302241-s0027_tess_v1_tp.fits
382302241,53752745,TP,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000382302241-s0028_tess_v1_tp.fits
382302241,53932213,TP,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000382302241-s0029_tess_v1_tp.fits
382302241,54112815,TP,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000382302241-s0030_tess_v1_tp.fits
382302241,59785242,TP,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000382302241-s0001_tess_v1_tp.fits
389525208,53589822,TP,/run/media/maverick/X10 Pro/exoplanetDataset/falsePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000389525208-s0027_tess_v1_tp.fits
