tic_id,obs_id,file_type,file_path
231663901,53611520,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000231663901-s0027_tess_v1_tp.fits
231663901,59790800,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000231663901-s0001_tess_v1_tp.fits
231663901,201245238,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000231663901-s0067_tess_v1_tp.fits
231663901,27802701,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/tess2020186164531-s0027-0000000231663901-0189-s_tp.fits
231663901,60831534,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/tess2018206045859-s0001-0000000231663901-0120-s_tp.fits
149603524,52358799,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000149603524-s0027_tess_v1_tp.fits
149603524,53830481,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000149603524-s0028_tess_v1_tp.fits
149603524,53849400,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000149603524-s0029_tess_v1_tp.fits
149603524,53999713,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000149603524-s0030_tess_v1_tp.fits
149603524,59698289,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000149603524-s0001_tess_v1_tp.fits
336732616,59771700,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000336732616-s0001_tess_v1_tp.fits
336732616,60831404,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/tess2018206045859-s0001-0000000336732616-0120-s_tp.fits
231670397,53639728,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000231670397-s0027_tess_v1_tp.fits
231670397,59773782,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000231670397-s0001_tess_v1_tp.fits
231670397,201245367,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000231670397-s0067_tess_v1_tp.fits
231670397,27802709,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/tess2020186164531-s0027-0000000231670397-0189-s_tp.fits
231670397,60830729,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/tess2018206045859-s0001-0000000231670397-0120-s_tp.fits
144065872,53692480,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000144065872-s0028_tess_v1_tp.fits
144065872,59687142,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000144065872-s0001_tess_v1_tp.fits
144065872,27819656,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/tess2020212050318-s0028-0000000144065872-0190-s_tp.fits
144065872,60841806,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/tess2018206045859-s0001-0000000144065872-0120-s_tp.fits
38846515,53553325,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000038846515-s0027_tess_v1_tp.fits
38846515,53689783,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000038846515-s0028_tess_v1_tp.fits
38846515,53911242,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000038846515-s0029_tess_v1_tp.fits
38846515,54062560,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000038846515-s0030_tess_v1_tp.fits
38846515,59703456,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000038846515-s0001_tess_v1_tp.fits
92352620,53527040,TP,/run/media/maverick/X10 Pro/exoplanetDataset/truePositivesRaw/TP/hlsp_tess-spoc_tess_phot_0000000092352620-s0027_tess_v1_tp.fits
